;Mardel Plata;Balcarce;Tandil;Azul;Tapalqu‚;Saladillo;25 de mayo;? Chivilcoy;Chacabuco;Dolores;Castelli;Gral Belgrano;San miguel del monte;Lobos;Roque P‚rez;Ayacucho
0=Mar del Plata;65536;74;65536;65536;65536;65536;65536;65536;65536;202;65536;65536;65536;65536;65536;172
1=Balcarce;74;65536;108;206;65536;65536;65536;65536;65536;302;65536;255;65536;65536;65536;96
2=Tandil;65536;108;65536;103;65536;65536;65536;65536;65536;219;65536;65536;283;322;65536;76
3=Azul;65536;206;103;65536;51;137;65536;65536;65536;65536;65536;65536;260;224;65536;144
4=Tapalqu‚;65536;10000000;65536;51;65536;88;65536;65536;65536;65536;65536;65536;65536;65536;65536;65536
5=Saladillo;65536;10000000;65536;137;88;65536;50;108;65536;65536;65536;65536;65536;85;55;318
6 =25 de mayo;65536;10000000;65536;65536;65536;50;65536;74;65536;65536;65536;65536;65536;65536;103;65536
7= Chivilcoy;65536;10000000;65536;65536;65536;108;74;65536;51;65536;65536;65536;65536;65536;98;377
8=Chacabuco;65536;10000000;65536;65536;65536;65536;65536;51;65536;65536;65536;65536;65536;65536;65536;65536
9= Dolores;202;203;219;65536;65536;65536;65536;65536;65536;65536;30;65536;65536;195;39;155
10=Castelli;65536;10000000;65536;65536;65536;65536;65536;65536;65536;30;65536;78;65536;65536;65536;65536
11=Gral Belgrano;65536;10000000;65536;65536;65536;65536;65536;65536;65536;65536;78;65536;53;65536;65536;167
12= San miguel del monte;65536;10000000;283;260;65536;65536;65536;65536;65536;65536;65536;53;65536;42;65536;215
13=Lobos;65536;10000000;322;224;65536;85;65536;65536;65536;195;65536;65536;42;65536;39;65536
14=Roque P‚rez;65536;10000000;65536;65536;65536;55;103;98;65536;39;65536;65536;65536;39;65536;65536
15=Ayacucho;172;96;76;144;65536;318;65536;377;65536;155;65536;167;215;65536;65536;65536
